content,content_cutted,label_name,posibility
念sc的时候可以加个字幕显示sc内容，效果更好,时候 字幕 内容 效果,剧情_摄像头_角色,[0.25233553 0.74766447]
饭都吃完了，你才更新是吧??,饭,未知,[0.5 0.5]
[滑稽]讲真的 。如果准备好文案再来做视频观感会比现在更好！但是直播配合sc比直接念稿子更爽,文案 视频 观感 直播 稿子,剧情_摄像头_角色,[0.49949623 0.50050377]
怎么这么多圣经,圣经,未知,[0.5 0.5]
摄像头这么能睡是不是玩??玩的[呲牙],摄像头 牙,剧情_摄像头_角色,[0.25023129 0.74976871]
我的天，看个视频给我看红温了，不敢想像要是我还在玩会多难受，我还TM是妮露粉。,天 视频 不敢想像 玩会 粉,剧情_摄像头_角色,[0.25040489 0.74959511]
up做的还是有点早，应该把今天长离个人任务对比一下的??????,有点 个人 任务,剧情_摄像头_角色,[0.25162284 0.74837716]
“但凡考虑过角色背后是活生生的配音演员，都不会说这些话”是谁说的来着,角色 活生生 配音演员 话,剧情_摄像头_角色,[0.25031386 0.74968614]
"BA老师：我什么都做不了.JPG

原主角：我什么都做不了.JPG

[doge][doge]",老师 原 主角,原神_散兵_主角,[0.74988137 0.25011863]
被mxz看不起的dnf 邪龙是啥剧情知道吗[大笑],龙 剧情,剧情_摄像头_角色,[0.25009805 0.74990195]
到了今天我这登录1366天的老登终究受不了了，把游戏都卸载了。不玩了。,游戏,剧情_摄像头_角色,[0.25031859 0.74968141]
她只是想当勇者夫人，谁是勇者无所谓。,勇者 夫人 勇者,原神_散兵_主角,[0.83317538 0.16682462]
[doge]啊？不会也是小仙女写的文案吧？,仙女 文案,原神_散兵_主角,[0.83298625 0.16701375]
